condition,step,microaction,hypothesis,judged_action,predicate,likelihood,output_belief
episode_only/s20_off,89,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.499
episode_only/s20_on,22,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.905
episode_only/s20_on,89,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.905
episode_only/s30_off,39,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.895
episode_only/s30_off,98,GRASP,d(item_7),pick_up(?item=item_7),"holding(human_0, item_7)",1.0,0.895
episode_only/s30_on,39,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.902
episode_only/s30_on,98,GRASP,d(item_7),pick_up(?item=item_7),"holding(human_0, item_7)",1.0,0.905
episode_only/s40_off,60,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.904
episode_only/s40_off,272,GRASP,d(item_6),pick_up(?item=item_6),"holding(human_0, item_6)",1.0,0.082
episode_only/s40_on,60,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.904
episode_only/s40_on,272,GRASP,d(item_6),pick_up(?item=item_6),"holding(human_0, item_6)",1.0,0.083
neither/s00_off,41,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.760
neither/s00_off,111,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.001
neither/s00_on,41,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.905
neither/s00_on,111,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.001
neither/s20_off,22,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.363
neither/s20_off,89,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.001
neither/s20_on,22,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.905
neither/s20_on,89,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.001
neither/s30_off,39,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.895
neither/s30_off,98,GRASP,d(item_7),pick_up(?item=item_7),"holding(human_0, item_7)",1.0,0.001
neither/s30_on,39,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.902
neither/s30_on,98,GRASP,d(item_7),pick_up(?item=item_7),"holding(human_0, item_7)",1.0,0.001
neither/s40_off,60,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.904
neither/s40_off,272,GRASP,d(item_6),pick_up(?item=item_6),"holding(human_0, item_6)",1.0,0.001
neither/s40_on,60,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.904
neither/s40_on,272,GRASP,d(item_6),pick_up(?item=item_6),"holding(human_0, item_6)",1.0,0.001
